month_date_yyyymm,county_fips,county_name,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy
202107,12055,"highlands, fl",239000,0.0437,0.2879,252,0.2174,-0.3438,40,-0.101123596,-0.487179487,152,0.0857,0.2258,12,2,0.5,48,0.2,-0.2941,336,-0.1064,0.098,140.4585799,0.0203,0.2147,1615,0.031,0.018,3651415.747,0.6492,15.0185,588,0.0086,-0.1478,1.333333333,-0.4831,0.5365
202107,12107,"putnam, fl",219900,-0.0332,-0.0603,164,0.1007,-0.2039,57,0.341176471,-0.321428571,84,0.1667,2,12,2,,44,0.375,1.2,169,0.0833,0.3413,142.2692308,-0.0366,0.1988,1472,-0.0271,-0.2315,341398.4362,-0.0696,-0.0605,333,0.0918,0.003,1.030487805,-0.0165,0.4188
202107,12101,"pasco, fl",289900,-0.0002,0.1154,726,0.1561,-0.4851,34,0.152542373,-0.403508772,764,-0.1357,0.0053,44,-0.5217,-0.8226,260,0.7568,-0.5038,1847,-0.0489,-0.0797,171.3395639,0.0121,0.2404,1579,-0.0322,-0.1216,360210.3421,-0.0562,0.1644,2573,0.0012,-0.247,2.544077135,-0.5483,1.1207
202107,12021,"collier, fl",689000,0.06,0.3935,1433,0.0506,-0.7338,44,0.011494253,-0.619047619,872,-0.048,-0.227,108,0.125,0.0385,288,0.1803,-0.662,2635,-0.1627,0.1537,378.5211268,0.0242,0.4483,1921,-0.0052,0.0127,1571492.398,0.0283,0.5247,4068,-0.0982,-0.4694,1.838799721,-0.4684,1.4145
202107,12053,"hernando, fl",310000,0.0544,0.3083,410,0.1202,-0.4143,31,0.068965517,-0.47008547,464,0.1717,0.1373,28,0.4,-0.5,124,0.4762,-0.3404,930,-0.0402,-0.0864,163.3817427,0.0226,0.286,1804,0.0123,-0.0658,417998.2048,0.0475,0.3523,1340,0.0037,-0.22,2.268292683,-0.3792,0.814
202107,12083,"marion, fl",226900,0.0179,0.0805,1998,0.0894,-0.2578,519,0.064615385,2.425742574,592,0.1935,0.1128,60,0.1538,0.0714,188,0.4688,-0.3896,2474,-0.0643,0.0321,129.5779329,0.0249,0.0863,1773,0.004,0.0129,335684.1871,0.0107,0.1508,4472,-0.0013,-0.1212,1.238238238,-0.2034,0.3478
202106,12071,"lee, fl",379700,0.0125,0.1252,1855,0.088,-0.7283,40,-0.047619048,-0.60199005,1536,-0.0278,-0.195,188,0.0217,0.175,472,0.3563,-0.6982,4491,-0.1251,0.2999,217.6614404,0.0179,0.2007,1744.5,0.0142,-0.0238,721740.3362,0.003,0.2301,6346,-0.072,-0.3828,2.421024259,-0.5895,1.9149
202106,12017,"citrus, fl",269700,0.0413,0.2108,381,0.0886,-0.529,38,-0.155555556,-0.595744681,312,0.1471,0.1818,24,-0.1429,1,76,0.2667,-0.5,700,-0.045,0.0309,156.7261153,0.0347,0.2561,1701.5,0.0275,-0.0659,406661.6693,0.0207,0.3593,1081,-0.0018,-0.2735,1.837270341,-0.257,0.998
202106,12009,"brevard, fl",349900,0.0142,0.1702,972,0.102,-0.6137,37,-0.051282051,-0.506666667,1020,0.1435,0.0537,100,-0.4048,-0.4048,256,0.1228,-0.6832,2625,-0.0253,0.0645,199.9531475,0.0247,0.219,1766,-0.0151,-0.0407,501036.66,0.0454,0.2092,3597,0.0062,-0.278,2.700617284,-0.3527,1.7205
202106,12011,"broward, fl",347450,0.0532,0.0858,6082,-0.0469,-0.5217,56,-0.066666667,-0.44278607,3416,-0.0161,-0.0584,416,0.1556,0.6508,1016,0.0496,-0.5528,8074,-0.0229,0.4138,243.3569699,0.0187,0.1497,1239,0.0325,-0.0332,723816.9288,0.0366,0.1857,14156,-0.0333,-0.2318,1.327523841,0.0326,0.8784
